CBOP,Suburb,Population
England,Kings Langley,302.0
England,Kings Park (NSW),103.0
England,Kingsford (NSW),324.0
England,Kingsgrove,115.0
England,Kingswood (Penrith - NSW),281.0
England,Kirkham,27.0
England,Kirrawee,340.0
England,Kirribilli,299.0
England,Kogarah,160.0
England,Kogarah Bay,34.0
England,Koolewong,57.0
England,Ku-Ring-Gai Chase,0.0
England,Kulnura,12.0
England,Kurmond,33.0
England,Kurnell,80.0
England,Kurraba Point,116.0
England,Kurrajong,139.0
England,Kurrajong Heights,71.0
England,Kurrajong Hills,35.0
England,Kyeemagh,10.0
England,Kyle Bay,14.0
England,La Perouse,16.0
England,Lake Haven,132.0
England,Lake Munmorah,220.0
England,Lakemba,41.0
England,Lakesland,25.0
England,Lalor Park,139.0
England,Lane Cove,560.0
England,Lane Cove North,447.0
England,Lane Cove West,141.0
England,Lansdowne (Canterbury-Bankstown - NSW),0.0
England,Lansvale,18.0
England,Lapstone,42.0
England,Laughtondale,0.0
England,Lavender Bay,77.0
England,Lawson (NSW),162.0
England,Leets Vale,4.0
England,Leichhardt (NSW),733.0
England,Lemon Tree,4.0
England,Leonay,143.0
England,Leppington,58.0
England,Lethbridge Park,102.0
England,Leumeah,337.0
England,Leura,298.0
England,Lewisham (NSW),123.0
England,Liberty Grove,32.0
England,Lidcombe,89.0
England,Lilli Pilli (Sutherland Shire - NSW),42.0
England,Lilyfield,456.0
England,Linden (NSW),35.0
England,Lindfield,432.0
England,Linley Point,12.0
England,Lisarow,325.0
England,Little Bay,217.0
England,Little Jilliby,3.0
England,Little Wobby,5.0
England,Liverpool,180.0
England,Llandilo,35.0
England,Loftus,136.0
England,Londonderry (NSW),96.0
England,Long Jetty,203.0
England,Long Point (Campbelltown - NSW),8.0
England,Longueville,106.0
England,Lovett Bay,5.0
England,Lower Macdonald,12.0
England,Lower Mangrove,3.0
England,Lower Portland,15.0
England,Luddenham,31.0
England,Lugarno,133.0
England,Lurnea,101.0
England,Macmasters Beach,57.0
England,Macquarie Fields,233.0
England,Macquarie Links,28.0
England,Macquarie Park,124.0
England,Magenta (NSW),18.0
England,Maianbar,25.0
England,Malabar,190.0
England,Maldon (NSW),0.0
England,Mangrove Creek,5.0
England,Mangrove Mountain,29.0
England,Manly (NSW),1857.0
England,Manly Vale,458.0
England,Mannering Park,62.0
England,Maraylya,42.0
England,Marayong,119.0
England,Mardi,147.0
England,Marlow,0.0
England,Maroota,17.0
England,Maroubra,1014.0
England,Marrickville,791.0
England,Marsden Park,16.0
England,Marsfield,242.0
England,Mascot,302.0
England,Matcham,67.0
England,Matraville,292.0
England,Mays Hill,10.0
England,McGraths Hill,74.0
England,McMahons Point,188.0
England,Meadowbank (NSW),71.0
England,Medlow Bath,28.0
England,Megalong Valley,3.0
England,Mellong,0.0
England,Melrose Park (NSW),42.0
England,Menai,265.0
England,Menangle,49.0
England,Menangle Park,9.0
England,Merrylands,135.0
England,Merrylands West,69.0
England,Middle Cove,78.0
England,Middle Dural,53.0
England,Middleton Grange,30.0
England,Miller,27.0
England,Millers Point,84.0
England,Milperra,92.0
England,Milsons Passage,3.0
England,Milsons Point,151.0
England,Minchinbury,72.0
England,Minto,228.0
England,Minto Heights,9.0
England,Miranda (NSW),551.0
England,Mona Vale,861.0
England,Monterey,74.0
England,Mooney Mooney,25.0
England,Mooney Mooney Creek,0.0
England,Moore Park,0.0
England,Moorebank,150.0
England,Morning Bay,5.0
England,Mortdale,214.0
England,Mortlake (NSW),21.0
England,Mosman,2426.0
England,Mount Annan,351.0
England,Mount Colah,334.0
England,Mount Druitt,125.0
England,Mount Elliot (NSW),11.0
England,Mount Hunter,21.0
England,Mount Irvine,5.0
England,Mount Kuring-Gai,91.0
England,Mount Lewis,3.0
England,Mount Pritchard,91.0
England,Mount Riverview,164.0
England,Mount Tomah,0.0
England,Mount Vernon,14.0
England,Mount Victoria,70.0
England,Mount White,17.0
England,Mount Wilson,0.0
England,Mountain Lagoon,3.0
England,Mowbray Park,3.0
England,Mulgoa,53.0
England,Mulgrave (NSW),0.0
England,Narara,389.0
England,Narellan,125.0
England,Narellan Vale,214.0
England,Naremburn,313.0
England,Narrabeen,575.0
England,Narraweena,374.0
England,Narwee,56.0
England,Nattai,0.0
England,Nelson (The Hills Shire - NSW),10.0
England,Neutral Bay,702.0
England,Newington (NSW),107.0
England,Newport (NSW),672.0
England,Newtown (NSW),871.0
England,Niagara Park,141.0
England,Norah Head,40.0
England,Noraville,90.0
England,Normanhurst,231.0
England,North Avoca,106.0
England,North Balgowlah,395.0
England,North Bondi,659.0
England,North Curl Curl,347.0
England,North Epping,149.0
England,North Gosford,140.0
England,North Manly,202.0
England,North Narrabeen,405.0
England,North Parramatta,196.0
England,North Richmond,226.0
England,North Rocks,228.0
England,North Ryde,255.0
England,North St Marys,85.0
England,North Strathfield,78.0
England,North Sydney,416.0
England,North Turramurra,335.0
England,North Wahroonga,142.0
England,North Willoughby,146.0
England,Northbridge (NSW),331.0
England,Northmead,235.0
England,Northwood (NSW),53.0
England,Oakdale (NSW),55.0
England,Oakhurst (NSW),85.0
England,Oakville,58.0
England,Oatlands (NSW),97.0
England,Oatley,299.0
England,Old Guildford,6.0
England,Old Toongabbie,75.0
England,Oran Park,88.0
England,Orangeville,40.0
England,Orchard Hills,52.0
England,Ourimbah,176.0
England,Oxford Falls,4.0
England,Oxley Park,54.0
England,Oyster Bay,222.0
England,Paddington (NSW),1048.0
England,Padstow,153.0
England,Padstow Heights,67.0
England,Pagewood,99.0
England,Palm Beach (NSW),117.0
England,Palm Grove (NSW),7.0
England,Palmdale (NSW),9.0
England,Panania,199.0
England,Parklea,56.0
England,Parramatta,193.0
England,Patonga,7.0
England,Peakhurst,198.0
England,Peakhurst Heights,38.0
England,Pearl Beach,45.0
England,Peats Ridge,10.0
England,Pemulwuy,48.0
England,Pendle Hill,84.0
England,Pennant Hills,249.0
England,Penrith,495.0
England,Penshurst (NSW),162.0
England,Petersham,338.0
England,Pheasants Nest,34.0
England,Phegans Bay,33.0
England,Phillip Bay,32.0
England,Picketts Valley,19.0
England,Picnic Point,105.0
England,Picton (NSW),225.0
England,Pitt Town,103.0
England,Pitt Town Bottoms,0.0
England,Pleasure Point,15.0
England,Plumpton (NSW),89.0
England,Point Clare,226.0
England,Point Frederick,88.0
England,Point Piper,72.0
England,Port Hacking,37.0
England,Potts Hill,0.0
England,Potts Point,499.0
England,Prairiewood,17.0
England,Prestons,120.0
England,Pretty Beach (Central Coast - NSW),27.0
England,Prospect (NSW),82.0
England,Punchbowl (Canterbury-Bankstown - NSW),53.0
England,Putney,108.0
England,Putty,0.0
England,Pymble,580.0
England,Pyrmont,630.0
England,Quakers Hill,476.0
England,Queens Park (NSW),193.0
England,Queenscliff (NSW),322.0
England,Raby,179.0
England,Ramsgate,35.0
England,Ramsgate Beach,35.0
England,Randwick,1787.0
England,Ravensdale,0.0
England,Razorback,44.0
England,Redfern,673.0
England,Regents Park (NSW),18.0
England,Regentville,39.0
England,Revesby,184.0
England,Revesby Heights,31.0
England,Rhodes,137.0
