Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"BPLP - 4 Digit Level and SSC (UR) by GCCSA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"
"GCCSA (UR)","Greater Sydney"


"BPLP - 4 Digit Level","SSC (UR)",
,"Beryl",0,
,"Bethungra",0,
,"Bevendale",0,
,"Beverley Park",42,
,"Beverly Hills",74,
,"Bewong",0,
,"Bexhill",0,
,"Bexley",208,
,"Bexley North",55,
,"Biala",0,
,"Bibbenluke",0,
,"Biddon",0,
,"Bidgeemia",0,
,"Bidwill (NSW)",56,
,"Bielsdown Hills",0,
,"Big Hill (NSW)",0,
,"Big Jacks Creek",0,
,"Big Ridge",0,
,"Big Springs",0,
,"Bigga",0,
,"Bilambil",0,
,"Bilambil Heights",0,
,"Bilbul",0,
,"Bilgola Beach",24,
,"Bilgola Plateau",392,
,"Billeroy",0,
,"Billilingra",0,
,"Billimari",0,
,"Billinudgel",0,
,"Billys Creek",0,
,"Billywillinga",0,
,"Bilpin",26,
,"Bimberi",0,
,"Bimbi",0,
,"Bimbimbie",0,
,"Binalong",0,
,"Binda",0,
,"Bindera",0,
,"Bingara",0,
,"Bingeebeebra Creek",0,
,"Bingie",0,
,"Bingleburra",0,
,"Biniguy",0,
,"Binjura",0,
,"Binna Burra (NSW)",0,
,"Binnaway",0,
,"Binya",0,
,"Birchgrove",337,
,"Birdwood (NSW)",0,
,"Birganbigil",0,
,"Birmingham Gardens",0,
,"Birriwa",0,
,"Birrong",25,
,"Bishops Bridge",0,
,"Bithramere",0,
,"Black Creek (Port Macquarie-Hastings - NSW)",0,
,"Black Creek (Snowy Valleys - NSW)",0,
,"Black Head",0,
,"Black Hill (NSW)",0,
,"Black Hollow",0,
,"Black Mountain (NSW)",0,
,"Black Range (NSW)",0,
,"Black Springs (NSW)",0,
,"Blackalls Park",0,
,"Blackbutt (NSW)",0,
,"Blackett",67,
,"Blackheath",281,
,"Blackmans Flat",0,
,"Blackmans Point",0,
,"Blacksmiths",0,
,"Blacktown",592,
,"Blackville",0,
,"Blackwall (NSW)",69,
,"Blair Athol (NSW)",37,
,"Blairmount",7,
,"Blakebrook",0,
,"Blakehurst",94,
,"Blakney Creek",0,
,"Bland",0,
,"Blandford",0,
,"Blaxland (NSW)",369,
,"Blaxlands Creek",0,
,"Blaxlands Ridge",14,
,"Blayney",0,
,"Bligh Park",191,
,"Blighty",0,
,"Blowering",0,
,"Blue Bay",40,
,"Blue Haven",202,
,"Blue Knob",0,
,"Blue Mountains National Park",0,
,"Blue Nobby",0,
,"Blue Vale",0,
,"Blueys Beach",0,
,"Boambee",0,
,"Boambee East",0,
,"Boambolo",0,
,"Boat Harbour (Lismore - NSW)",0,
,"Boat Harbour (Port Stephens - NSW)",0,
,"Bobadah",0,
,"Bobin",0,
,"Bobs Creek",0,
,"Bobs Farm",0,
,"Bobundara",0,
,"Boco",0,
,"Bocoble",0,
,"Bocobra",0,
,"Bodalla",0,
,"Bodangora",0,
,"Boeill Creek",0,
,"Bogan",0,
,"Bogan Gate",0,
,"Bogangar",0,
,"Bogee",0,
,"Boggabilla",0,
,"Boggabri",0,
,"Bogong Peaks Wilderness",0,
,"Bohena Creek",0,
,"Bohnock",0,
,"Bolaro",0,
,"Bolivia",0,
,"Bolong",0,
,"Bolton Point",0,
,"Bolwarra (NSW)",0,
,"Bolwarra Heights",0,
,"Bom Bom",0,
,"Bomaderry",0,
,"Bombah Point",0,
,"Bombala",0,
,"Bombay",0,
,"Bombira",0,
,"Bombo",0,
,"Bombowlee",0,
,"Bombowlee Creek",0,
,"Bomen",0,
,"Bomera",0,
,"Bonalbo",0,
,"Bondi",805,
,"Bondi Beach",1014,
,"Bondi Forest",0,
,"Bondi Junction",633,
,"Bonnells Bay",0,
,"Bonnet Bay",125,
,"Bonny Hills",0,
,"Bonnyrigg",44,
,"Bonnyrigg Heights",17,
,"Bonshaw (NSW)",0,
,"Bonville",0,
,"Booerie Creek",0,
,"Book Book",0,
,"Booker Bay",58,
,"Bookham",0,
,"Bookookoorara",0,
,"Bookram",0,
,"Boolambayte",0,
,"Boolaroo",0,
,"Boolcarroll",0,
,"Booligal",0,
,"Boolijah",0,
,"Boomanoomana",0,
,"Boomerang Beach",0,
,"Boomey",0,
,"Boomi",0,
,"Boomi Creek",0,
,"Boona Mount",0,
,"Boonal",0,
,"Boonoo Boonoo",0,
,"Boorabee Park",0,
,"Booragul",0,
,"Booral (NSW)",0,
,"Boorga",0,
,"Boorganna",0,
,"Boorolong",0,
,"Boorook",0,
,"Boorooma",0,
,"Booroorban",0,
